input_addr;input_cep;output_addr_1;output_addr_2;output_addr_3;output_addr_cep_1;output_addr_cep_2;output_addr_cep_3;lat1;lon1;lat2;lon2;lat3;lon3
RUA ABILIO ALVES RABELO ELDORADO DOS CARAJAS CAMPINAS SP 13054287 BRASIL;13054287;RUA ABILIO ALVES RABELO CAMPINAS SAO PAULO 13054287;RUA ABILIO ALVES RABELO OURO VERDE CAMPINAS SAO PAULO 13054287 BRAZIL;RUA ABILIO ALVES RABELO ELDORADO DE CARAJAS CAMPINAS SP 13054287 BRASIL;13054287;13054287;13054287;-22,98728;-47,12438001;-22,9877259;-47,126563;-22,98727;-47,12506
PRACA ABILIO DE JESUS DIAS JARDIM NOVO CAMPOS ELISEOS CAMPINAS SP 13050588 BRASIL;13050588;13050 CAMPINAS SAO PAULO;CAMPINAS BRAZIL;JARDIM NOVO CAMPOS ELISEOS CAMPINAS SP BRASIL;NA;NA;13060410;-22,93679424;-47,10078553;-22,90563965;-47,05956268;-22,93142;-47,10672
RUA ABILIO FERNANDES JARDIM ALVORADA CAMPINAS SP 13050743 BRASIL;13050743;RUA ABILIO FERNANDES CAMPINAS SAO PAULO 13050743;RUA ABILIO FERNANDES JARDIM YEDA CAMPINAS SAO PAULO 13050743 BRAZIL;RUA ABILIO FERNANDES PARQUE IPIRANGA CAMPINAS SP 13050743 BRASIL;13050743;13050743;13050743;-22,94914263;-47,10611579;-22,95031962;-47,10641586;-22,94959;-47,10632
RUA ABILIO FERNANDES SERRA JARDIM GARCIA CAMPINAS SP 13061093 BRASIL;13061093;RUA ABILIO FERNANDES SERRA CAMPINAS SAO PAULO 13061093;RUA ABILIO FERNANDES SERRA NUCLEO RESIDENCIAL JARDIM CAMPOS ELISIOS CAMPINAS SAO PAULO 13061093 BRAZIL;RUA ABILIO FERNANDES SERRA JARDIM GARCIA CAMPINAS SP 13061093 BRASIL;13061093;13061093;13061093;-22,913095;-47,10279502;-22,91319925;-47,1028575;-22,91309;-47,10279
RUA ABILIO JOSE DOS SANTOS JARDIM NOVO CAMPOS ELISEOS CAMPINAS SP 13050712 BRASIL;13050712;RUA ABILIO JOSE DOS SANTOS CAMPINAS SAO PAULO 13050712;RUA ABILIO JOSE DOS SANTOS JARDIM NOVO CAMPOS ELISEOS CAMPINAS SAO PAULO 13050712 BRAZIL;RUA ABILIO JOSE DOS SANTOS JARDIM NOVO CAMPOS ELISEOS CAMPINAS SP 13050712 BRASIL;13050712;13050712;13050712;-22,94478201;-47,1078711;-22,94482215;-47,10749595;-22,94478;-47,10787
RUA ABILIO LUZ RESIDENCIAL LAUERZ SWISS PARK CAMPINAS SP 13049511 BRASIL;13049511;RUA ABILIO LUZ CAMPINAS SAO PAULO 13049511;RUA ABILIO LUZ SWISS PARK CAMPINAS SAO PAULO 13049511 BRAZIL;RUA ABILIO LUZ SWISS PARK CAMPINAS SP 13049511 BRASIL;13049511;13049511;13049511;-22,97076608;-47,07625656;-22,97086785;-47,07588925;-22,97077;-47,07626
RUA ABILIO VILELA JUNQUEIRA CHACARA SANTA MARGARIDA CAMPINAS SP 13085420 BRASIL;13085420;RUA ABILIO VILELA JUNQUEIRA BARAO GERALDO CAMPINAS SAO PAULO 13085420;RUA ABILIO VILELA JUNQUEIRA BARAO GERALDO CAMPINAS SAO PAULO 13085420 BRAZIL;RUA ABILIO VILELA JUNQUEIRA CHACARA SANTA MARGARIDA GUARA CAMPINAS SP 13085420 BRASIL;13085420;13085420;13085420;-22,7877828;-47,07398232;-22,7871635;-47,07302512;-22,78677;-47,07161
RUA ABIURANA LOTEAMENTO ALPHAVILLE CAMPINAS SP 13098358 BRASIL;13098358;RUA ABIURANA CAMPINAS SAO PAULO 13098358;RUA ABIURANA PARQUE DOS POMARES CAMPINAS SAO PAULO 13098358 BRAZIL;RUA ABIURANA ALPHAVILLE CAMPINAS CAMPINAS SP 13098358 BRASIL;13098358;13098358;13098358;-22,81709351;-47,01796956;-22,81698006;-47,01888324;-22,81709;-47,01795
RUA ABNER MAIA JARDIM SANTA TEREZINHA CAMPINAS SP 13052161 BRASIL;13052161;RUA ABNER MAIA CAMPINAS SAO PAULO 13052161;RUA BENEDITO MAIA DE FIGUEIREDO JARDIM SANTA TEREZINHA MOGIGUACU SAO PAULO 13848189 BRAZIL;RUA ABNER MAIA JARDIM SANTA TEREZINHA CAMPINAS SP 13052161 BRASIL;13052161;13848189;13052161;-22,96175;-47,11146501;-22,33325367;-46,93166923;-22,96183;-47,11097
RUA ABNER PAULO DE OLIVEIRA PARQUE ELDORADO CAMPINAS SP 13052766 BRASIL;13052766;RUA ABNER PAULO DE OLIVEIRA CAMPINAS SAO PAULO 13052766;RUA ABNER PAULO DE OLIVEIRA JARDIM NOVA MERCEDES CAMPINAS SAO PAULO 13052766 BRAZIL;RUA ABNER PAULO DE OLIVEIRA PARQUE ELDORADO CAMPINAS SP 13052766 BRASIL;13052766;13052766;13052766;-22,98333095;-47,08786121;-22,98377735;-47,0877378;-22,98336;-47,08786
RUA DA ABOLICAO ATE PONTE PRETA CAMPINAS SP 13041445 BRASIL;13041445;RUA DA ABOLICAO CAMPINAS SAO PAULO 13041445;RUA DA ABOLICAO CAMPINAS SAO PAULO 13041445 BRAZIL;RUA DA ABOLICAO PONTE PRETA CAMPINAS SP 13041445 BRASIL;13041445;13041445;13041445;-22,91821117;-47,05322885;-22,91553566;-47,05468058;-22,91878;-47,05258
RUA DA ABOLICAO DE AO FIM VILA JOAQUIM INACIO CAMPINAS SP 13045750 BRASIL;13045750;RUA DA ABOLICAO CAMPINAS SAO PAULO 13045750;RUA DA ABOLICAO VILA IPE CAMPINAS SAO PAULO 13045750 BRAZIL;RUA DA ABOLICAO VILA JOAQUIM INACIO CAMPINAS SP 13045750 BRASIL;13045750;13045750;13045750;-22,93190244;-47,03641244;-22,931038;-47,03742695;-22,93046;-47,03804
RUA ABRAHAO PASMANIK JARDIM ICARAI CAMPINAS SP 13051412 BRASIL;13051412;RUA ABRAHAO PASMANIK CAMPINAS SAO PAULO 13051412;RUA ABRAHAO PASMANIK SWISS PARK CAMPINAS SAO PAULO 13051411 BRAZIL;RUA ABRAHAO PASMANIK JARDIM NOEMIA CAMPINAS SP 13051412 BRASIL;13051412;13051411;13051412;-22,9550247;-47,0788553;-22,95571952;-47,07825432;-22,95502;-47,07885
AVENIDA ABRAM STEINBERG BAIRRO DAS PALMEIRAS CAMPINAS SP 13092597 BRASIL;13092597;AVENIDA ABRAM STEINBERG CAMPINAS SAO PAULO 13092597;AVENIDA ABRAM STEINBERG BAIRRO DAS PALMEIRAS CAMPINAS SAO PAULO 13092597 BRAZIL;AVENIDA ABRAM STEINBERG BAIRRO DAS PALMEIRAS CAMPINAS SP 13092597 BRASIL;13092597;13092597;13092597;-22,89604093;-47,01206618;-22,89638015;-47,0091333;-22,89614;-47,01117
RUA ABRAN GELWAN JARDIM BOTANICO SOUSAS CAMPINAS SP 13106286 BRASIL;13106286;RUA ABRAN GELWAN SOUSAS CAMPINAS SAO PAULO 13106286;RUA ABRAN GELWAN SOUSAS CAMPINAS SAO PAULO 13106286 BRAZIL;RUA ABRAN GELWAN JARDIM BOTANICO SOUSAS CAMPINAS SP 13106286 BRASIL;13106286;13106286;13106286;-22,89178763;-46,96351838;-22,89230405;-46,9636488;-22,89179;-46,96352
